date,team,venue_team,opponent,rest_days_Saint-Etienne
2024-08-17,Saint-Etienne,Away,Monaco,0
2024-08-24,Saint-Etienne,Home,Le Havre,7
2024-08-31,Saint-Etienne,Away,Brest,7
2024-09-13,Saint-Etienne,Home,Lille,13
2024-09-20,Saint-Etienne,Away,Nice,7
2024-09-29,Saint-Etienne,Away,Nantes,9
2024-10-05,Saint-Etienne,Home,Auxerre,6
2024-10-19,Saint-Etienne,Home,Lens,14
2024-10-26,Saint-Etienne,Away,Angers,7
2024-11-02,Saint-Etienne,Home,Strasbourg,7
2024-11-10,Saint-Etienne,Away,Lyon,8
2024-11-23,Saint-Etienne,Home,Montpellier,13
2024-11-30,Saint-Etienne,Away,Rennes,7
2024-12-08,Saint-Etienne,Home,Marseille,8
2024-12-13,Saint-Etienne,Away,Toulouse,5
2024-12-22,Saint-Etienne,Home,Marseille,9
2025-01-04,Saint-Etienne,Home,Reims,13
2025-01-12,Saint-Etienne,Away,Paris S-G,8
2025-01-19,Saint-Etienne,Home,Nantes,7
2025-01-24,Saint-Etienne,Away,Auxerre,5
2025-02-01,Saint-Etienne,Away,Lille,8
2025-02-08,Saint-Etienne,Home,Rennes,7
2025-02-15,Saint-Etienne,Away,Marseille,7
2025-02-22,Saint-Etienne,Home,Angers,7
2025-03-01,Saint-Etienne,Home,Nice,7
2025-03-09,Saint-Etienne,Away,Le Havre,8
2025-03-16,Saint-Etienne,Away,Montpellier,7
2025-03-29,Saint-Etienne,Home,Paris S-G,13
2025-04-06,Saint-Etienne,Away,Lens,8
2025-04-13,Saint-Etienne,Home,Brest,7
2025-04-20,Saint-Etienne,Home,Lyon,7
2025-04-26,Saint-Etienne,Away,Strasbourg,6
2025-05-03,Saint-Etienne,Home,Monaco,7
2025-05-10,Saint-Etienne,Away,Reims,7
2025-05-17,Saint-Etienne,Home,Toulouse,7
